Tools,Port 2: NDI 8700339  s/n:34801403,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 3: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8360,1,OK,0.279385,0.4546731,-0.2508064,0.8076587,56.623,78.392,-1408.829,0.2228004,4,OK,56.667,78.244,-1408.871,OK,61.294,30.927,-1394.3,OK,109.113,20.513,-1368.31,OK,110.819,83.465,-1383.377,Port 3: NDI 8700340  s/n:34802401,8360,1,OK,0.4554455,0.1504616,-0.2732604,0.8338222,99.813,-174.238,-1238.866,0.13223,4,OK,99.883,-174.214,-1239.009,OK,99.807,-203.799,-1198.49,OK,79.021,-244.474,-1166.219,OK,121.111,-243.4,-1122.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8363,1,OK,0.2791774,0.4543939,-0.2510149,0.8078228,56.63,78.39,-1408.837,0.2285549,4,OK,56.662,78.241,-1408.885,OK,61.292,30.93,-1394.321,OK,109.102,20.505,-1368.288,OK,110.81,83.453,-1383.334,Port 3: NDI 8700340  s/n:34802401,8363,1,OK,0.4555619,0.1504588,-0.2731761,0.8337868,99.808,-174.254,-1238.891,0.1382844,4,OK,99.88,-174.224,-1239.043,OK,99.803,-203.806,-1198.511,OK,79.014,-244.481,-1166.22,OK,121.108,-243.403,-1122.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8366,1,OK,0.2792994,0.4544437,-0.2509027,0.8077875,56.615,78.377,-1408.833,0.2211098,4,OK,56.645,78.23,-1408.859,OK,61.285,30.918,-1394.326,OK,109.083,20.497,-1368.266,OK,110.801,83.443,-1383.36,Port 3: NDI 8700340  s/n:34802401,8366,1,OK,0.4554354,0.150467,-0.2732855,0.8338185,99.798,-174.254,-1238.868,0.1337799,4,OK,99.873,-174.238,-1239.008,OK,99.79,-203.814,-1198.48,OK,78.995,-244.498,-1166.236,OK,121.103,-243.414,-1122.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8369,1,OK,0.2792444,0.4545655,-0.2509298,0.8077296,56.595,78.413,-1408.8,0.2297952,4,OK,56.635,78.26,-1408.84,OK,61.262,30.957,-1394.287,OK,109.084,20.535,-1368.27,OK,110.779,83.474,-1383.325,Port 3: NDI 8700340  s/n:34802401,8369,1,OK,0.4556486,0.1505987,-0.2732318,0.8336958,99.781,-174.217,-1238.827,0.1428221,4,OK,99.864,-174.199,-1238.969,OK,99.767,-203.777,-1198.439,OK,78.994,-244.458,-1166.175,OK,121.1,-243.388,-1122.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8372,1,OK,0.2791285,0.4544327,-0.2510491,0.8078072,56.589,78.41,-1408.789,0.2298784,4,OK,56.62,78.256,-1408.803,OK,61.253,30.949,-1394.319,OK,109.064,20.53,-1368.223,OK,110.775,83.47,-1383.309,Port 3: NDI 8700340  s/n:34802401,8372,1,OK,0.4559498,0.1506369,-0.2731078,0.8335649,99.777,-174.231,-1238.822,0.1352276,4,OK,99.853,-174.203,-1238.962,OK,99.77,-203.795,-1198.444,OK,78.981,-244.443,-1166.142,OK,121.099,-243.395,-1122.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8375,1,OK,0.2794094,0.4543922,-0.2507783,0.8078171,56.582,78.393,-1408.801,0.2254649,4,OK,56.614,78.249,-1408.844,OK,61.244,30.944,-1394.264,OK,109.058,20.518,-1368.223,OK,110.763,83.46,-1383.322,Port 3: NDI 8700340  s/n:34802401,8375,1,OK,0.4557703,0.1505695,-0.2731575,0.8336589,99.769,-174.238,-1238.816,0.1452042,4,OK,99.846,-174.212,-1238.972,OK,99.757,-203.796,-1198.417,OK,78.974,-244.461,-1166.15,OK,121.083,-243.401,-1122.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8378,1,OK,0.2790358,0.4543548,-0.2511308,0.8078577,56.579,78.426,-1408.775,0.229653,4,OK,56.609,78.279,-1408.814,OK,61.244,30.966,-1394.282,OK,109.052,20.541,-1368.22,OK,110.751,83.482,-1383.264,Port 3: NDI 8700340  s/n:34802401,8378,1,OK,0.4559536,0.15061,-0.2730752,0.8335784,99.767,-174.224,-1238.821,0.1402287,4,OK,99.845,-174.196,-1238.967,OK,99.757,-203.777,-1198.442,OK,78.973,-244.433,-1166.13,OK,121.085,-243.382,-1122.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8381,1,OK,0.2793789,0.4547592,-0.2508635,0.8075946,56.559,78.414,-1408.735,0.2237115,4,OK,56.604,78.257,-1408.751,OK,61.235,30.956,-1394.243,OK,109.052,20.53,-1368.217,OK,110.759,83.477,-1383.307,Port 3: NDI 8700340  s/n:34802401,8381,1,OK,0.45582,0.1505478,-0.2730923,0.8336571,99.769,-174.231,-1238.803,0.1389753,4,OK,99.85,-174.199,-1238.948,OK,99.75,-203.785,-1198.428,OK,78.971,-244.443,-1166.118,OK,121.087,-243.38,-1122.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8384,1,OK,0.2791643,0.4545174,-0.2510505,0.8077468,56.575,78.417,-1408.792,0.2296382,4,OK,56.61,78.264,-1408.834,OK,61.24,30.954,-1394.29,OK,109.053,20.533,-1368.267,OK,110.763,83.475,-1383.303,Port 3: NDI 8700340  s/n:34802401,8384,1,OK,0.4561293,0.1506372,-0.2730077,0.8334994,99.77,-174.247,-1238.862,0.147599,4,OK,99.853,-174.214,-1239.012,OK,99.756,-203.794,-1198.477,OK,78.972,-244.449,-1166.148,OK,121.088,-243.398,-1122.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8387,1,OK,0.2794998,0.4544853,-0.2506822,0.8077632,56.572,78.403,-1408.783,0.2190152,4,OK,56.604,78.257,-1408.792,OK,61.243,30.952,-1394.273,OK,109.047,20.531,-1368.187,OK,110.765,83.481,-1383.344,Port 3: NDI 8700340  s/n:34802401,8387,1,OK,0.4558607,0.1504779,-0.2730443,0.8336631,99.775,-174.245,-1238.83,0.1461393,4,OK,99.853,-174.206,-1238.993,OK,99.753,-203.787,-1198.449,OK,78.97,-244.448,-1166.13,OK,121.08,-243.388,-1122.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
